Product,MAE,RMSE,MAPE,Train_Size,Test_Size,Total_Records
Sirup_Salted_Caramel,52.60898410350723,83.9461470267326,74.05577477626217,174,44,218
Powder_Mala,14.290123293001159,17.685993870605053,630.1497310560845,68,18,86
Gula_Cair,291.02432797167603,391.46352337937697,64.0642064384309,356,89,445
AQUA,11.008860748102647,12.265985423362986,103.87618117769854,353,89,442
Cup_Ice_0.8_oz,7.313404287415978,8.424365361912633,617.7019106738757,126,32,158
Kopi_Bubuk,20.619239169398092,24.129960902676824,115.13709658429896,252,64,316
Kewpie_mayo,48.40063005168451,130.2293025859149,47.787462280472646,353,89,442
Dumpling,26.958962905171298,28.49702282214447,292.3000385190347,333,84,417
Powder_Dark_Choco,20.014877786590056,25.20982034910167,54.96223238961525,352,89,441
Lemon_Syrup,60.41591860925405,80.28417836448256,42.76234706480597,352,89,441
Egg_Chicken_Roll,9.846636662430496,15.395188271315641,195.1938071184763,288,73,361
KATSU,473.2232737486937,595.3789095621798,54.01326286014317,353,89,442
Taro_Powder,133.3389165238471,167.34373460180163,327.8574054668999,169,43,212
Brown_Sugar,164.63319717847457,194.49654154298187,162.27575725729454,189,48,237
Lychee_Syrup,230.78462454108228,258.8453867594051,76.83691429986747,355,89,444
Tepung_Karaage,236.0077646992524,356.6115877777425,77.92229336410335,354,89,443
Air_Soda,2709.5732272248256,2881.235563355582,207.08090031300546,350,88,438
CABE_RAWIT,61.14795539443806,67.61420224118751,103.03513280708441,353,89,442
Lid_Cup_Sealer,29.149911481042924,33.199382920299975,42.36122155808861,353,89,442
BLUE_BAND,2.5195504458643057,4.569459180074878,22.82050316295597,354,89,443
MISO,251.37580752943384,287.091074684457,50.537036572836,353,89,442
Tepung_Panir,3521.2067917142135,4949.162541426911,4514.4112643874405,84,21,105
Marinated_Chasu_base,167.62146463502992,235.76026396921625,171.77206844186196,356,90,446
Kentang,62.481672303653475,77.06160445515192,76.99460574227052,325,82,407
Susu_Kotak,3.2956510533121506,5.264119148275505,198.61633982890032,113,29,142
Packaging_Cold_Drink,17.493008449994655,23.67284559977126,57.86395258819946,356,90,446
CHILLI_POWDER,98.21252058693112,116.29495626772201,62.0208841218831,353,89,442
Es_Batu,1943.6277179382996,2404.827932486307,25.541133061853095,356,89,445
Peach,181.18070087588737,191.9180603022433,204.60377937188605,354,89,443
FIBER_CREAM,67.44785276392673,132.32384359590168,27.289271032996172,355,89,444
SAUS_TERIYAKI,51.45436655772204,57.16894633826757,233.44826199279805,320,81,401
Buavita_All_Variant,108.83235843745823,108.83235843745823,906.9363203121519,4,1,5
BERAS,510.485737018427,710.6102735341192,53.04866329161341,348,88,436
Sushi_Nori,862.0091346279909,1237.0212489794992,10108.639639777126,77,20,97
WIJEN,41.421196250199486,76.44204368376674,73.575805143773,356,89,445
BOMBAY,43.57488121814828,67.07686990270975,74.3455892929619,348,87,435
TELUR_AYAM,25.704541926209718,53.77211002810269,43.317668997880155,355,89,444
